Sequence_Index,Euclidean_Distance
498,0.5189362452975326
499,0.4848197488543682
500,0.4808246170029242
501,0.5589419450216505
502,0.4991951317812716
503,0.5079751023516988
504,0.491011637536367
505,0.4679564697982571
506,0.49549419045615106
507,0.4789503894958596
508,0.5541027947682151
509,0.4894757405639155
510,0.48348589843046424
511,0.44149010245016745
512,0.4484834295265478
513,0.466840868122853
514,0.47584727534207005
515,0.5049484378987961
516,0.5069221942050136
517,0.501542913529103
518,0.4927861897061956
519,0.4876714291303591
520,0.44527248042930173
521,0.43228903230800136
522,0.5455262164315248
523,0.5450871121574635
524,0.4978025821025225
525,0.4930741315070947
526,0.49684172338655386
527,0.4902649722174277
528,0.5461363839173301
529,0.48850517395951765
530,0.5021341649385398
531,0.5477231973242431
532,0.5052202604467734
533,0.48277540343979924
534,0.42274026579369955
535,0.4957196711120508
536,0.4602705327848126
537,0.44637721104224276
538,0.4578123808469487
539,0.44670827164058385
540,0.5207944647889533
541,0.5103825200478006
542,0.5096601135646825
543,0.48718891434531547
544,0.4830791672404007
545,0.5151100930766624
546,0.5160174197207261
547,0.4683734766307407
548,0.4345033191754603
549,0.48282320951993873
550,0.4111900321298037
551,0.4152970478743491
552,0.5509854396409442
553,0.4693699978639977
554,0.5312579169578321
555,0.44895017306735846
556,0.41896952458542064
557,0.5795245667921417
558,0.4854034480582017
559,0.4965248100473447
560,0.5491026371283245
561,0.5353198957078219
562,0.49793003114614254
563,0.45490343618160867
564,0.5377416411900912
565,0.45214220804975264
566,0.4760086294972676
567,0.5339050448851163
568,0.484786734397436
569,0.5103079666109709
570,0.45750798525934344
571,0.49844319617335664
572,0.48695912522751184
573,0.4647316618965931
574,0.5093413090178677
575,0.46625198737597384
576,0.5018357213287392
577,0.47767222786209995
578,0.47219735684007996
579,0.46573126029983974
580,0.489561414345528
581,0.4665392539450606
582,0.4968659614279136
583,0.46469743503950883
584,0.4794299794941367
585,0.4849516580029601
586,0.4781886238802713
587,0.4518031900840082
588,0.4829452059800597
589,0.5136397623770462
590,0.38643709640856083
591,0.48423313802398465
592,0.46086659225116416
593,0.495302321739723
594,0.42876499745831087
595,0.5391442226368903
596,0.47854410711823947
597,0.4413253994501796
598,0.4619238571620704
599,0.5096801842778751
600,0.42794578932118665
601,0.47345735451404447
602,0.44577690819738003
603,0.5399693580742095
604,0.46046369562181566
605,0.47739532982747634
606,0.4848267535700914
607,0.5040505040798079
608,0.5075250656417576
609,0.5026553410164593
610,0.47945204332951635
611,0.5144873985595757
612,0.4542455434279333
613,0.5441547808865312
614,0.5022815928315246
615,0.478428076484253
616,0.45374598960458257
617,0.4773450887789566
618,0.5480862840773109
619,0.4852558441640039
620,0.5421862417308304
621,0.4910389084328978
622,0.44066451364472936
623,0.5180203160635738
624,0.5407974299492728
625,0.5085874062153666
626,0.5521215079777801
627,0.5581528714997758
628,0.5046731377633081
629,0.47876068975578173
630,0.49425961435673116
631,0.43100228301450666
632,0.47541756657942263
633,0.48250642498992163
634,0.4709073330362586
635,0.4622843064193879
636,0.49072700100825256
637,0.5165825240120154
638,0.4772023512580017
639,0.47526551346080526
640,0.5722457983496126
641,0.45497307570284584
642,0.5208143203731402
643,0.5272394796911273
644,0.5142936159722011
645,0.4680181790340705
646,0.5066393430438448
647,0.517236300482193
648,0.4787824492441344
649,0.4789513134430882
650,0.4444426802496694
651,0.4821678059369278
652,0.47963585822851845
653,0.4587330693752822
654,0.5468041995573315
655,0.4448098021111678
656,0.5064296183168366
657,0.4590327667648715
658,0.4802211539142795
659,0.5133973807052514
660,0.49208096380694166
661,0.5223141937384242
662,0.45635423924164714
663,0.43674289486631945
664,0.5471903480042096
665,0.4928632708855569
666,0.5749672835694929
667,0.52078501771481
668,0.48017785042428535
669,0.48675209552156445
670,0.4478524107712746
671,0.4487437675804058
672,0.5087097303189082
673,0.5172224856699432
674,0.4556287685602529
675,0.4270808559920539
676,0.4944072767382732
677,0.483363037338337
678,0.507924254163496
679,0.4325955275034357
680,0.4514212758094228
681,0.5471050383857042
682,0.4696454462207675
683,0.47558809018605175
684,0.4568179029626549
685,0.45962016513918746
686,0.4975146795817735
687,0.46878683110017094
688,0.5313105409487316
689,0.5922375392591877
690,0.48827514751578
691,0.47347596576986767
692,0.4383461366715553
693,0.4896017423429192
694,0.5073112955128846
695,0.5152936081025234
696,0.4967784082586587
697,0.4335561803762422
698,0.47901748028627816
699,0.5043350234716778
700,0.4554147850100227
701,0.5126876564518078
702,0.4651724471027141
703,0.5316540247816853
704,0.5243523520720382
705,0.525315440619426
706,0.4604336921509133
707,0.5683915450669823
708,0.5039378895852199
709,0.4961698320749026
710,0.5370979487142291
711,0.45706366430285955
712,0.4304628354473171
713,0.43461319691771544
714,0.47752970670392153
715,0.469869895065679
716,0.47408186267511593
717,0.4805956694968054
718,0.4630180667840957
719,0.5642152499121598
